Dorsal,Jugador,Liga,Posicion,Indice InStat,Partidos jugados,Minutos jugados,Starting lineup appearances,Jugador sustituido,De sustitucion,Ocasiones claras falladas,Ocasiones falladas por partido,Goles,Goles por partido,Tiros a portería,Tiros a porteria por partido,xG,Regates,Regates por partido, % disputas ganadas,Faltas cometidas por partido,Taclkes por Partido,Perdidas en campo propio,Perdidas en campo propio por partido,Balones recuperados,Balones recuperados por partido, % disputas por arriba ganadas,Interceptaciones,Interceptaciones por partido,Tarjetas amarillas,Asistencias,xA (Asistencias esperadas),Asistencias por partido,% de efectividad de pases,Pases de finalización,Pases de finalizacion por partido, % de efectividad de los centros,Balones perdidos,Balones perdidos por partido,Recuperaciones en campo rival,Recuperaciones en campo rival por partido,Tiros del rival,Remates del rival a puerta,Goles encajados,Goles encajados por partido,Tiros rechazados,Shots saved %,Pases,Pases efectivos,Pases completados por partido, % de efectividad de pases,Salidas con exito por partido,% Salidas con éxito,Pases largos completados,% Pases largos completados,Cleansheets,PSxG
18,Leon Goretzka,Bundesliga,Centrocampista,353,8,615,6,2,2,0,0.00,1,0.1,7,0.4,0.17,13,1.90,0.59,0,0,2,0.29,50,7.32,0.53,46,5.8,1,2,0.7,0.3,0.9,6,0.88,0.33,28,4.10,20,2.93,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
13,Raphael Guerreiro,Bundesliga,Centrocampista,352,7,457,5,3,2,0,0.00,1,0.1,5,0.4,0.15,20,3.94,0.57,0,0,5,0.98,22,4.33,0.33,22,3.1,1,3,2.1,0.4,0.91,12,2.36,0.43,26,5.12,4,0.79,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
9,Erling Braut Haaland,Bundesliga,Delantero,346,8,683,7,1,1,5,0.66,10,1.3,14,1.6,0.60,18,2.37,0.49,0,0,6,0.79,7,0.92,0.55,13,1.6,1,2,0,0.3,0.76,11,1.45,0,48,6.33,6,0.79,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
29,Kingsley Coman,Bundesliga,Delantero,343,6,388,5,5,1,0,0.00,2,0.3,6,0.2,0.11,26,6.03,0.49,0,0,2,0.46,13,3.02,0.38,6,1.0,0,2,0,0.3,0.83,6,1.39,0.17,34,7.89,10,2.32,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
20,Bouna Sarr,Bundesliga,Defensa,342,3,290,3,0,0,0,0.00,0,0.0,0,0.0,0.00,17,5.28,0.48,2.3,1.7,5,1.55,25,7.76,0.53,22,7.3,0,1,0,0.3,0.9,1,0.31,0.29,18,5.59,10,3.10,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
10,Leroy Sane,Bundesliga,Delantero,340,7,317,3,3,4,1,0.28,3,0.4,5,0.5,0.10,23,6.53,0.44,0,0,3,0.85,3,0.85,0.57,6,0.9,0,3,0,0.4,0.77,10,2.84,0,33,9.37,1,0.28,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
4,Vilmos Tamas Orban,Bundesliga,Defensa,336,7,569,5,0,2,0,0.00,1,0.1,2,0.5,0.07,3,0.47,0.75,0.4,1,3,0.47,64,10.12,0.79,39,5.6,2,0,0,0.0,0.91,2,0.32,0,15,2.37,9,1.42,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
21,Lucas Hernandez,Bundesliga,Defensa,332,7,514,6,4,1,0,0.00,0,0.0,1,0.0,0.06,10,1.75,0.71,0.9,1.9,12,2.10,40,7.00,0.83,33,4.7,1,1,0,0.1,0.83,11,1.93,0.27,44,7.70,18,3.15,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
23,Marcel Halstenberg,Bundesliga,Defensa,329,4,327,4,1,0,0,0.00,1,0.3,1,0.0,0.13,8,2.20,0.59,0.8,1.5,7,1.93,29,7.98,0.6,19,4.8,0,1,0,0.3,0.92,4,1.10,0.75,20,5.50,9,2.48,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
1,Manuel Neuer,Bundesliga,Portero,314,9,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,97,39,13,1.4,26,0.67,322,303,33.7,0.94,1,0.91,6.5,0.61,2,0.17
1,Peter Gulacsi,Bundesliga,Portero,286,9,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,67,21,6,0.7,15,0.71,290,270,30.0,0.93,0.3,1,5.1,0.5,3,0.053
23,Frederik Ronnow,Bundesliga,Portero,285,7,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,109,48,14,2.0,34,0.71,212,184,26.3,0.87,0.1,1,4.4,0.41,0,0.163
1,Roman Burki,Bundesliga,Portero,283,7,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,50,24,9,1.3,15,0.63,179,164,23.4,0.92,0.1,1,4.1,0.43,3,0.071
1,Rafal Gikiewicz,Bundesliga,Portero,278,9,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,109,48,12,1.3,36,0.75,393,339,37.7,0.86,0.4,1,6.2,0.35,2,0.139
10,Jack Grealish,Premier League,Defensa,377,9,876,9,0,0,0,0.00,5,0.6,12,1.2,0.29,71,7.29,0.58,1.9,1.6,6,0.62,15,1.54,0.44,15,1.7,2,5,0,0.6,0.83,15,1.54,0.31,75,7.71,6,0.62,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
